,time,Previous (Departure) Region,index,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,Current (Arrival) Region,Displacements,population_density_destination
0,2022-01,Bakool,1452,2022,1,1.054422718993279,0.5924635795945545,8,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,0.6248075138843961,0.1971729795557974,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,-0.2697887870619426,-0.0924840300386976,7.0,6.0,5.0,4.0,3.0,2.0,121.81299458937367,9,0.001933419239247544,0.0014763409052588898,Awdal,0,166.68480685728628
1,2022-01,Banadir,1452,2022,1,0.7049331248410783,0.228571289992371,39,0.5667227813769657,0.5885361902628039,0.4509345540601213,0.5371940598268206,0.539414389859587,0.2915911440093443,0.1484880811758817,0.1338996002979504,0.0447123969255009,0.0136217027470115,0.042024655096468,0.0977465671938418,38.0,37.0,36.0,35.0,34.0,33.0,7399.010188474484,40,0.0014060378073769858,0.0008275041345191173,Awdal,0,166.68480685728628
2,2022-01,Bari,1452,2022,1,0.7348934792241926,0.1059776927120519,6,0.852973720850748,1.120914584509283,0.7618666341491416,0.6780374270023991,0.4989048699095681,-0.3086501783631496,0.0397719283588131,0.2362076364799005,0.2261675852022191,0.2405121695049659,0.2277697479176822,0.0505982620253739,5.0,4.0,3.0,2.0,1.0,0.0,73.34594574161682,6,0.0013472212458525824,0.001510119943036926,Awdal,0,166.68480685728628
3,2022-01,Bay,1452,2022,1,1.1702301978500431,0.5430375612074938,43,1.0649904194846656,1.0880363053111974,0.8918031878183191,0.9100995182711524,0.9402329215297264,0.6774742344365732,0.4919511648267749,0.348052528216713,0.0635840777328635,-0.410537538310712,-0.3230347505415,-0.1295442537618995,42.0,41.0,40.0,39.0,38.0,37.0,116.63858187398264,10,0.001560248323275866,0.0016976068210250638,Awdal,0,166.68480685728628
4,2022-01,Galgaduud,1452,2022,1,0.5390683642379399,0.2345477880042063,6,0.2502380206873578,0.1938626792527827,0.0339553656566295,0.3625486811329599,0.2147947276578247,-0.4816599440650357,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,0.1600157980422307,5.0,4.0,3.0,2.0,1.0,0.0,58.70440169785496,17,0.0017464998642800309,0.0003385811430039481,Awdal,0,166.68480685728628
5,2022-01,Gedo,1452,2022,1,1.208192724356865,0.6873348159117371,43,1.1712979074965968,1.1960111860652232,1.058287721139021,1.0449222147621349,1.0613578789720486,0.7984498739669603,0.5822494579152835,0.4029327574397971,0.1641017458128105,-0.4569077789064282,-0.346844423240216,-0.1229903032004386,42.0,41.0,40.0,39.0,38.0,37.0,91.14472277786004,7,0.0015437346539345937,0.0018463239144223002,Awdal,0,166.68480685728628
6,2022-01,Hiraan,1452,2022,1,0.7074664658997607,0.287697628442261,6,0.487568026514266,0.4014035983033094,0.2534979918103787,0.4376681087160884,0.3574909010167173,-0.1133009886935445,0.1834727729966705,0.1840254337699723,0.1309819575188882,0.0441621688582177,0.0709674453561464,0.1211278258186321,5.0,4.0,3.0,2.0,1.0,0.0,56.80291916884319,21,0.0017933090990489508,0.0007198407252283147,Awdal,0,166.68480685728628
7,2022-01,Lower Juba,1452,2022,1,1.2923044623514308,0.6198379672550162,163,1.3691994487692771,1.538599996036779,1.288544843974607,1.2482534520681692,1.2395998862860445,1.204901177809093,0.5773334109127387,0.922478870971114,0.4011303979237886,0.1488567646994079,0.0142916200682933,0.0786878624508346,162.0,161.0,160.0,159.0,158.0,157.0,152.59457104729574,29,0.0011394418721398165,0.0017531452599584619,Awdal,0,166.68480685728628
8,2022-01,Lower Shabelle,1452,2022,1,0.9839379846427464,0.246131161855701,41,0.8769124767538071,0.951982268442661,0.7492373834195851,0.7886602955152776,0.8153566679012418,0.6051753575697618,0.2108056632384981,0.1790550605294139,0.0558833163045725,-0.0565049901110351,-0.0298245782648899,0.0512808992460594,40.0,39.0,38.0,37.0,36.0,35.0,651.9581789477397,45,0.0014188974086405044,0.0013507651737650007,Awdal,0,166.68480685728628
9,2022-01,Middle Juba,1452,2022,1,1.2412508889579938,0.3711581976814715,163,1.2455684113023788,1.4102474513527814,1.1796885338849348,1.1567814956301454,1.1793327711659272,1.0591514807880658,0.3837113155695925,0.3915602231105315,0.1678835701430376,-0.0853499057597849,-0.1034422562699156,0.0249693099450029,162.0,161.0,160.0,159.0,158.0,157.0,71.57637084443164,1,0.001302272732908454,0.0018365268025503686,Awdal,0,166.68480685728628
10,2022-01,Middle Shabelle,1452,2022,1,0.3808112643155104,0.1791411821595466,6,0.2260327148969038,0.1957858774471379,0.1248510715374576,0.2564923891016407,0.2405724797560306,-0.0405861724663768,0.1070071270260876,0.1171268113369072,0.0742876805249436,0.0852958225854196,0.1161113475981224,0.1389541660136587,5.0,4.0,3.0,2.0,1.0,0.0,198.4086833984086,21,0.0015020974245814464,0.0002940894622827645,Awdal,0,166.68480685728628
11,2022-01,Mudug,1452,2022,1,0.453452928433778,0.1345613667310362,3,0.1393336171746055,0.1306706375076662,-0.077514577864589,0.3372246430321975,0.1591191999452494,-0.7275198548481583,0.0632129805140632,0.2036611554941206,0.226562483429295,0.2327336772430206,0.2226834906995919,0.103863217891218,2.0,1.0,0.0,2.0,1.0,0.0,86.98840946186222,2,0.0016050677827779518,0.00020973523041861123,Awdal,0,166.68480685728628
12,2022-01,Nugaal,1452,2022,1,0.699843359740576,0.1139399752578671,3,0.3285845914808786,0.3132471656021008,-0.0551951011854318,0.4719745375071879,0.2313344868978447,-0.9121397645875504,0.0455698636885864,0.2369268966034977,0.2620036209329585,0.2754573657847433,0.2624304914273327,0.085264552944247,2.0,1.0,0.0,2.0,1.0,0.0,23.889637414148865,3,0.001552301144490123,0.0004862539336724282,Awdal,0,166.68480685728628
13,2022-01,Sanaag,1452,2022,1,1.2461636353679828,0.052559376182004,6,0.9159941792265692,0.9178172449821042,0.4777876606578908,0.9875053572566664,0.6215985475991701,-0.5915871101760565,0.0556622316736382,0.0991973368265734,0.1078463782343433,0.063488065981665,0.0656321122766688,0.070942014449155,5.0,4.0,3.0,2.0,1.0,0.0,27.283835937866325,0,0.0020873443084678525,0.0019158006025270398,Awdal,0,166.68480685728628
14,2022-01,Sool,1452,2022,1,1.1080530229873429,0.0800894666180937,6,0.6680752325802594,0.6369192936815411,0.2434857352115295,0.8681247162395166,0.5300712860516593,-0.7421841636717861,0.0468585684891949,0.1879169981718459,0.2054640465564217,0.1952241718424453,0.1818122086174714,0.0766489090707046,5.0,4.0,3.0,2.0,1.0,0.0,26.17589280906721,3,0.0020736927338069993,0.001320774911328898,Awdal,0,166.68480685728628
15,2022-01,Togdheer,1452,2022,1,1.1395093137598202,-0.0041191792355541,6,0.7508382147884904,0.787171135352772,0.5399053070746052,1.1163843121607335,0.703991941855914,-0.494687621818667,-0.0213620682036838,-0.016666553010298,0.0622345030002352,-0.0025401155873642,0.0396203139508782,0.0876271051439616,5.0,4.0,3.0,2.0,1.0,0.0,69.21938048234784,3,0.0034984354711253356,0.0027538674217641402,Awdal,0,166.68480685728628
16,2022-01,Woqooyi Galbeed,1452,2022,1,1.140915197240828,-0.1729951268092957,6,0.8507555628503026,0.9173600092014028,0.7252721090910278,1.1873799707452593,0.7576558003371878,-0.3442123495003766,-0.2025253778569082,-0.1732776226910705,0.0722083389906655,-0.0325832369645388,0.0710384265038717,0.0048581267307333,5.0,4.0,3.0,2.0,1.0,0.0,116.93772861785706,1,0.007022136104679331,0.006441826841602134,Awdal,0,166.68480685728628
